month,Store,NPS,count_of_responses
2023-04,IPIRANGA,64.0,25
2023-04,ITAIM,57.14285714285715,14
2023-04,LAPA,75.86206896551724,29
2023-04,LONDRINA,85.71428571428572,14
2023-04,MOEMA,100.0,18
2023-04,PAULISTA,60.0,60
2023-04,RIBEIRÃO PRETO,100.0,7
2023-04,SANTO AMARO,61.904761904761905,42
2023-04,SANTOS,90.0,30
2023-04,SOROCABA,87.5,32
2023-04,TATUAPÉ,67.56756756756756,37
2023-04,TIJUCA,92.5,40
2023-04,TUCURUVI,75.0,24
2023-05,BARRA DA TIJUCA,82.6086956521739,23
2023-05,BELO HORIZONTE,45.833333333333336,24
2023-05,CAMPINAS,89.47368421052632,19
2023-05,COPACABANA,87.17948717948718,39
2023-05,IPIRANGA,69.44444444444444,36
2023-05,ITAIM,75.0,20
2023-05,LAPA,81.25,32
2023-05,LONDRINA,80.76923076923077,26
2023-05,MOEMA,69.56521739130434,23
2023-05,PAULISTA,73.21428571428572,56
2023-05,RIBEIRÃO PRETO,84.61538461538461,13
2023-05,SANTO AMARO,81.81818181818183,44
2023-05,SANTOS,74.35897435897436,39
2023-05,SOROCABA,94.5945945945946,37
2023-05,TATUAPÉ,74.50980392156863,51
2023-05,TIJUCA,89.74358974358975,39
2023-05,TUCURUVI,83.33333333333334,30
2023-06,BARRA DA TIJUCA,100.0,14
2023-06,BELO HORIZONTE,90.32258064516128,31
2023-06,CAMPINAS,87.5,24
2023-06,COPACABANA,93.10344827586206,29
2023-06,IPIRANGA,83.87096774193547,31
2023-06,ITAIM,41.379310344827594,29
2023-06,JARDINS,50.70422535211267,71
2023-06,LAPA,89.1891891891892,37
2023-06,LONDRINA,69.23076923076923,26
2023-06,MOEMA,78.94736842105263,19
2023-06,PAULISTA,100.0,3
2023-06,RIBEIRÃO PRETO,100.0,13
2023-06,SANTO AMARO,63.33333333333333,30
2023-06,SANTOS,72.5,40
2023-06,SOROCABA,76.31578947368422,38
2023-06,TATUAPÉ,60.0,60
